isolation_source,category_1,category_2,category_3
infant saliva,Animal Associated,GI Tract Related,Human saliva
human saliva,Animal Associated,GI Tract Related,Human saliva
saliva from healthy subject,Animal Associated,GI Tract Related,Human saliva
saliva from healthy adult female,Animal Associated,GI Tract Related,Human saliva
intestine membrane of a diarrheic piglet,Animal Associated,GI Tract Related,Other animal GI tracts
duodenum of female cd1 mouse,Animal Associated,GI Tract Related,Other animal GI tracts
chicken cecum,Animal Associated,GI Tract Related,Other animal GI tracts
adult bee gut,Animal Associated,GI Tract Related,Other animal GI tracts
gos pig 19 colon,Animal Associated,GI Tract Related,Other animal GI tracts
jejunum from mouse on 7% by weight (16% by calorie) soybean oil diet,Animal Associated,GI Tract Related,Other animal GI tracts
broiler chick cecum,Animal Associated,GI Tract Related,Other animal GI tracts
"pheasant, gastrointestinal tract",Animal Associated,GI Tract Related,Other animal GI tracts
tilapia intestine,Animal Associated,GI Tract Related,Other animal GI tracts
cecum of 6 weeks-old tunisian healthy chicken,Animal Associated,GI Tract Related,Other animal GI tracts
chicken caeca 4,Animal Associated,GI Tract Related,Other animal GI tracts
chicken caeca 2,Animal Associated,GI Tract Related,Other animal GI tracts
equine gastrointestinal tract,Animal Associated,GI Tract Related,Other animal GI tracts
bovine rumen,Animal Associated,GI Tract Related,Other animal GI tracts
small intestine of sus scrofa domesticus,Animal Associated,GI Tract Related,Other animal GI tracts
caecum mucosa from a healthy weaned piglet,Animal Associated,GI Tract Related,Other animal GI tracts
chicken caeca 5,Animal Associated,GI Tract Related,Other animal GI tracts
drosophila intestine,Animal Associated,GI Tract Related,Other animal GI tracts
chicken caeca 3,Animal Associated,GI Tract Related,Other animal GI tracts
honey bee midgut,Animal Associated,GI Tract Related,Other animal GI tracts
chilean honey bees gut,Animal Associated,GI Tract Related,Other animal GI tracts
alpine goat rumen,Animal Associated,GI Tract Related,Other animal GI tracts
stomachs of honeybees,Animal Associated,GI Tract Related,Other animal GI tracts
bumblebee gut,Animal Associated,GI Tract Related,Other animal GI tracts
insect gut,Animal Associated,GI Tract Related,Other animal GI tracts
mouse gut,Animal Associated,GI Tract Related,Other animal GI tracts
cloacal sample,Animal Associated,GI Tract Related,Other animal GI tracts
rectal swab of live bovine cattle,Animal Associated,GI Tract Related,Other animal GI tracts
cloacal swab,Animal Associated,GI Tract Related,Other animal GI tracts
cecal sample,Animal Associated,GI Tract Related,Other animal GI tracts
rectal,Animal Associated,GI Tract Related,Other animal GI tracts
pig rectal swab,Animal Associated,GI Tract Related,Other animal GI tracts
cecum of ec-fl1-1x 2-week old broiler chicken on fresh pine shavings infected with salmonella enterica serovar heidelberg,Animal Associated,GI Tract Related,Other animal GI tracts
gi isolate,Animal Associated,GI Tract Related,Other animal GI tracts
chicken intestine,Animal Associated,GI Tract Related,Other animal GI tracts
rectal swab of cattle in slaughterhouse,Animal Associated,GI Tract Related,Other animal GI tracts
cloaca swab,Animal Associated,GI Tract Related,Other animal GI tracts
mackerel intestinal sample,Animal Associated,GI Tract Related,Other animal GI tracts
stomach content,Animal Associated,GI Tract Related,Other animal GI tracts
large intestine,Animal Associated,GI Tract Related,Other animal GI tracts
