isolation_source,category_1,category_2,category_3
vinegar pei,Food Associated,Plant based,Other fermented food
fermented vinegar broth,Food Associated,Plant based,Other fermented food
sorghum sour wort,Food Associated,Plant based,Other fermented food
rice vinegar fermentation,Food Associated,Plant based,Other fermented food
sunki,Food Associated,Plant based,Other fermented food
"sunki, japanese traditional fermented vegetable",Food Associated,Plant based,Other fermented food
"traditional indian fermented food, kanjika",Food Associated,Plant based,Other fermented food
boza,Food Associated,Plant based,Other fermented food
fermented banana,Food Associated,Plant based,Other fermented food
fermented grains,Food Associated,Plant based,Other fermented food
fermented tomato (spoiled); commercial processor,Food Associated,Plant based,Other fermented food
brown flour teff injera,Food Associated,Plant based,Other fermented food
fermented cereal,Food Associated,Plant based,Other fermented food
sour cassava,Food Associated,Plant based,Other fermented food
surface of table olives after 60 days of fermentation,Food Associated,Plant based,Other fermented food
fermented beets,Food Associated,Plant based,Other fermented food
traditional korean fermented vegetable,Food Associated,Plant based,Other fermented food
"from pobuzih, fermented cummingcordia",Food Associated,Plant based,Other fermented food
fermenting apple juice,Food Associated,Plant based,Other fermented food
naturally fermented tofu whey,Food Associated,Plant based,Other fermented food
cocoa fermentation,Food Associated,Plant based,Other fermented food
pobuzihi (fermented cummingcordia),Food Associated,Plant based,Other fermented food
traditional fermented ma-bamboo shoots,Food Associated,Plant based,Other fermented food
fermeted vegetable,Food Associated,Plant based,Other fermented food
natually fermented tofu whey,Food Associated,Plant based,Other fermented food
dongbei pickle,Food Associated,Plant based,Other fermented food
fermented soybean paste,Food Associated,Plant based,Other fermented food
fu-tsai (a taiwan fermented mustard product),Food Associated,Plant based,Other fermented food
fermented vegetable sample,Food Associated,Plant based,Other fermented food
soybean fermentation,Food Associated,Plant based,Other fermented food
natural fermented sour congee,Food Associated,Plant based,Other fermented food
red lasagna sauce,Food Associated,Plant based,Other fermented food
korean traditional fermented-soybean food,Food Associated,Plant based,Other fermented food
fermented soya beans,Food Associated,Plant based,Other fermented food
korean traditional fermented soybean paste; doenjang,Food Associated,Plant based,Other fermented food
soybean fermented product,Food Associated,Plant based,Other fermented food
fermented soybean product,Food Associated,Plant based,Other fermented food
rice,Food Associated,Plant based,Cereal Related
baking flour,Food Associated,Plant based,Cereal Related
total mixed ration,Food Associated,Plant based,Cereal Related
idli batter,Food Associated,Plant based,Cereal Related
congee,Food Associated,Plant based,Cereal Related
flour,Food Associated,Plant based,Cereal Related
salad blend,Food Associated,Plant based,Others
vegetable sausage,Food Associated,Plant based,Others
spanish bobal grape must,Food Associated,Plant based,Others
tomato pulp,Food Associated,Plant based,Others
spoiled salad dressing,Food Associated,Plant based,Others
vegetable salad,Food Associated,Plant based,Others
pickled vegetables,Food Associated,Plant based,Others
soured carrot mash,Food Associated,Plant based,Others
pumiao rice noodle,Food Associated,Plant based,Others
must of bobal grape variety,Food Associated,Plant based,Others
mike cake,Food Associated,Plant based,Others
corn steep liquor,Food Associated,Plant based,Others
apple mash,Food Associated,Plant based,Others
angelica gigas nakai root surface,Food Associated,Plant based,Others
mushroom soup (12h 60 c degree),Food Associated,Plant based,Others
pea soup (8h 40 c degree),Food Associated,Plant based,Others
binding flour,Food Associated,Plant based,Others
ready to eat mixed salad leaves (obtained from discount store),Food Associated,Plant based,Others
orange lemonade,Food Associated,Plant based,Juice
apple juice from cider press,Food Associated,Plant based,Juice
cane juice,Food Associated,Plant based,Juice
grape juice,Food Associated,Plant based,Juice
raspberry juice,Food Associated,Plant based,Juice
sourdough,Food Associated,Plant based,Sourdough like
wheat sourdough,Food Associated,Plant based,Sourdough like
sorghum sourdough,Food Associated,Plant based,Sourdough like
greek sourdough,Food Associated,Plant based,Sourdough like
rye sourdough,Food Associated,Plant based,Sourdough like
san francisco sourdough,Food Associated,Plant based,Sourdough like
fermented sourdough,Food Associated,Plant based,Sourdough like
artisanal wheat sourdough,Food Associated,Plant based,Sourdough like
rye-bran sourdough,Food Associated,Plant based,Sourdough like
yellow pea flour sourdough,Food Associated,Plant based,Sourdough like
type ii sourdough fermentation,Food Associated,Plant based,Sourdough like
type ii sourdough,Food Associated,Plant based,Sourdough like
amaranth sourdough,Food Associated,Plant based,Sourdough like
"sourdough, manufactured with wheat, rye and spelt flour",Food Associated,Plant based,Sourdough like
traditional greek wheat sourdough,Food Associated,Plant based,Sourdough like
traditional belgian wheat sourdoughs,Food Associated,Plant based,Sourdough like
sourdough bread,Food Associated,Plant based,Sourdough like
sourdough starter,Food Associated,Plant based,Sourdough like
household sourdough,Food Associated,Plant based,Sourdough like
the fermented dough in dali,Food Associated,Plant based,Sourdough like
rice sourdough,Food Associated,Plant based,Sourdough like
missing,Missing,Missing,Missing
not available: to be reported later,Missing,Missing,Missing
unkown,Missing,Missing,Missing
not available,Missing,Missing,Missing
"uncertain, probably milk",Missing,Missing,Missing
not available: not collected,Missing,Missing,Missing
not known,Missing,Missing,Missing
not appplicable,Missing,Missing,Missing
not informed,Missing,Missing,Missing
source of origin unknown,Missing,Missing,Missing
undefined,Missing,Missing,Missing
nan,Missing,Missing,Missing
not applicable,Missing,Missing,Missing
not provided,Missing,Missing,Missing
not collected,Missing,Missing,Missing
unknown,Missing,Missing,Missing
-,Missing,Missing,Missing
other,Missing,Missing,Missing
anaerobic enrichment culture that was inoculated with biogas reactor content,Others,Culture Medium,Microbe Related
commercial cheese starter culture,Others,Culture Medium,Microbe Related
cheese starter culture,Others,Culture Medium,Microbe Related
pure bacterial culture,Others,Culture Medium,Microbe Related
dairy starter culture,Others,Culture Medium,Microbe Related
pure culture in mrs broth and glycerol (2:1),Others,Culture Medium,Microbe Related
"de man, rogosa & sharpe laboratory culture",Others,Culture Medium,Microbe Related
agar plate,Others,Culture Medium,Microbe Related
contaminated fungus plate,Others,Culture Medium,Microbe Related
throat culture,Others,Culture Medium,Others
cell culture,Others,Culture Medium,Others
drosophila melanogaster nutritional substrate,Others,Culture Medium,Others
commercial biocontrol culture,Others,Culture Medium,Others
carbon source limited medium,Others,Culture Medium,Others
culture,Others,Culture Medium,Others
normal medium,Others,Culture Medium,Others
lab culture,Others,Culture Medium,Others
commercial culture,Others,Culture Medium,Others
starter culture,Others,Culture Medium,Others
whey culture,Others,Culture Medium,Others
liquid culture,Others,Culture Medium,Others
cucumber seedling substrate,Others,Culture Medium,Others
swine waste-corn fermentation,Others,Fermentation Related,Others
cattle waste-corn fermentation,Others,Fermentation Related,Others
anaerobic effluent of swine manure,Others,Fermentation Related,Others
fermented residue,Others,Fermentation Related,Alcohol Related
brewery yeast,Others,Fermentation Related,Alcohol Related
maotai daqu,Others,Fermentation Related,Alcohol Related
lohmann animal health,Others,Others,Others
animal feed,Others,Others,Others
commercial product,Others,Others,Others
mash,Others,Others,Others
acetic acid solution,Others,Others,Others
kem complex,Others,Others,Others
mushroom beds,Others,Others,Others
feed to animal,Others,Others,Others
pig feed from feed plant,Others,Others,Others
envo:00010483,Others,Others,Others
hive honey comb,Others,Others,Others
hive,Others,Others,Others
futsai,Others,Others,Others
grape marcs obtained from prosecco vineyard,Others,Others,Others
beehive,Others,Others,Others
ting,Others,Others,Others
conjugation assay,Others,Others,Others
laboratory experiment,Others,Others,Others
essential oils isolation,Others,Others,Others
air filter,Others,Others,Others
conjugation,Others,Others,Others
crude oil,Others,Others,Others
oil field,Others,Others,Others
black soot,Others,Others,Others
purchased from jcm,Others,Strains,Strains
brewing yeast sample,Others,Strains,Strains
baking leaven,Others,Strains,Strains
phylogroupe,Others,Strains,Strains
laboratory evolution,Others,Strains,Strains
lab collection,Others,Strains,Strains
parent strain cv601 collected from dairy manure,Others,Strains,Strains
autochthonous strain isolated from spontaneously fermented croatian's white cabbage brassica oleracea var. capitata cultivar varazdinski,Others,Strains,Strains
obtained by metabolic engineering of original strain isolated from the corn stover slurry.,Others,Strains,Strains
laboratory strain,Others,Strains,Strains
clinical isolate,Others,Strains,Strains
the tolc deletion strain of the keio collection,Others,Strains,Strains
spontaneous mutant,Others,Strains,Strains
engineered strain; named synb8802; derived from e. coli nissle 1917,Others,Strains,Strains
spontaneous mutation of the escherichia coli laboratory strain jw5503 of the keio collection,Others,Strains,Strains
laboratory mutant of 6535,Others,Strains,Strains
laboratory strain; mutant of pseudomonas putida ncimb 11767,Others,Strains,Strains
laboratory strain; mutant of pseudomonas putida uv4/95,Others,Strains,Strains
genome-engineered strain,Others,Strains,Strains
rice endophyte,Others,Strains,Strains
isolated from the rice field,Others,Strains,Strains
culture mutant,Others,Strains,Strains
lab strain,Others,Strains,Strains
engineered derivative of c. glutamicum atcc 13032; carrying a number of defined deletions,Others,Strains,Strains
protoplast breeding,Others,Strains,Strains
from atcc 14067 by mutation breeding,Others,Strains,Strains
experimental evolution,Others,Strains,Strains
takara,Others,Strains,Strains
commercial strain obtained from novagen,Others,Strains,Strains
engineered variant of escherichia coli bl21(de3),Others,Strains,Strains
derivative of strain mm294 except the mutated alleles reca1 and gyra96,Others,Strains,Strains
genetically modified from j1074 by integration of two production cosmids,Others,Strains,Strains
na(common laboratory strain),Others,Strains,Strains
crop,Plant Associated,Cereal,Other Plant Parts
plant (cereals),Plant Associated,Cereal,Other Plant Parts
wheat,Plant Associated,Cereal,Other Plant Parts
rye,Plant Associated,Cereal,Other Plant Parts
barley,Plant Associated,Cereal,Other Plant Parts
ogi (red sorghum),Plant Associated,Cereal,Other Plant Parts
exorhizosphere rice,Plant Associated,Cereal,Other Plant Parts
cereals,Plant Associated,Cereal,Other Plant Parts
malted barley,Plant Associated,Cereal,Plant Reproductive Structures
chenopodium quinoa seeds,Plant Associated,Cereal,Plant Reproductive Structures
wheat germ,Plant Associated,Cereal,Plant Reproductive Structures
quinoa seeds,Plant Associated,Cereal,Plant Reproductive Structures
surface-sterilized wheat seeds,Plant Associated,Cereal,Plant Reproductive Structures
rice seed,Plant Associated,Cereal,Plant Reproductive Structures
wheat anther,Plant Associated,Cereal,Plant Reproductive Structures
wheat head,Plant Associated,Cereal,Plant Reproductive Structures
wheat rhizosphere,Plant Associated,Cereal,Root
wine grapes,Plant Associated,Fruit & Vegetable,Fruit
fruits and vegetables,Plant Associated,Fruit & Vegetable,Fruit
tropical fruit,Plant Associated,Fruit & Vegetable,Fruit
pineapple,Plant Associated,Fruit & Vegetable,Fruit
cabernet sauvignon,Plant Associated,Fruit & Vegetable,Fruit
cucumber,Plant Associated,Fruit & Vegetable,Fruit
lychee,Plant Associated,Fruit & Vegetable,Fruit
sugar cane,Plant Associated,Fruit & Vegetable,Fruit
chardonnay,Plant Associated,Fruit & Vegetable,Fruit
orange,Plant Associated,Fruit & Vegetable,Fruit
banana fruits,Plant Associated,Fruit & Vegetable,Fruit
unripe fruit,Plant Associated,Fruit & Vegetable,Fruit
sample from fruit (melon),Plant Associated,Fruit & Vegetable,Fruit
guangzhou mango,Plant Associated,Fruit & Vegetable,Fruit
olives,Plant Associated,Fruit & Vegetable,Fruit
grape skin,Plant Associated,Fruit & Vegetable,Fruit
lemon samples,Plant Associated,Fruit & Vegetable,Fruit
fermented orange,Plant Associated,Fruit & Vegetable,Fruit
paper mulberry,Plant Associated,Fruit & Vegetable,Fruit
anthers of luffa,Plant Associated,Fruit & Vegetable,Fruit Reproductive Structures
banana plant rhizosphere,Plant Associated,Fruit & Vegetable,Root
banana rhizosphere,Plant Associated,Fruit & Vegetable,Root
avocado rhizosphere,Plant Associated,Fruit & Vegetable,Root
tomato rhisosphere,Plant Associated,Fruit & Vegetable,Root
onion rhizosphere,Plant Associated,Fruit & Vegetable,Root
rotten onion,Plant Associated,Fruit & Vegetable,Spoiled Vegetable
faba bean,Plant Associated,Fruit & Vegetable,Vegetable
carrot,Plant Associated,Fruit & Vegetable,Vegetable
brassica oleracea var. capitata cultivar varazdinski,Plant Associated,Fruit & Vegetable,Vegetable
raw vegetable,Plant Associated,Fruit & Vegetable,Vegetable
iceberg lettuce,Plant Associated,Fruit & Vegetable,Vegetable
green onion,Plant Associated,Fruit & Vegetable,Vegetable
celery,Plant Associated,Fruit & Vegetable,Vegetable
bell pepper,Plant Associated,Fruit & Vegetable,Vegetable
brussel sprout,Plant Associated,Fruit & Vegetable,Vegetable
cabbage,Plant Associated,Fruit & Vegetable,Vegetable
radish,Plant Associated,Fruit & Vegetable,Vegetable
vegetables,Plant Associated,Fruit & Vegetable,Vegetable
packaged lettuce,Plant Associated,Fruit & Vegetable,Vegetable
lettuce,Plant Associated,Fruit & Vegetable,Vegetable
pasture gramineae,Plant Associated,Grass,Other Plant Parts
subarctic timothy grass,Plant Associated,Grass,Other Plant Parts
grass samples,Plant Associated,Grass,Other Plant Parts
potato,Plant Associated,Other Agricultural Plants,Other Plant Parts
potato scab,Plant Associated,Other Agricultural Plants,Other Plant Parts
alfalfa sprout,Plant Associated,Other Agricultural Plants,Other Plant Parts
earthnut (stemona tuberosa),Plant Associated,Other Agricultural Plants,Other Plant Parts
lucerne leaf,Plant Associated,Other Agricultural Plants,Leaves
rhizosphere of peanut,Plant Associated,Other Agricultural Plants,Root
cotton plant rhizosphere,Plant Associated,Other Agricultural Plants,Root
soybean root,Plant Associated,Other Agricultural Plants,Root
root of coffee,Plant Associated,Other Agricultural Plants,Root
root; branch and leaf of coffee from 3 to 40 years old were grown and harvested at dak lak; viet nam,Plant Associated,Other Agricultural Plants,Root
potato rhizosphere,Plant Associated,Other Agricultural Plants,Root
plants rhizosphere,Plant Associated,Other Agricultural Plants,Root
silage,Plant Associated,Other Agricultural Plants,Silage
grass silage,Plant Associated,Other Agricultural Plants,Silage
maize silage,Plant Associated,Other Agricultural Plants,Silage
orchardgrass silage,Plant Associated,Other Agricultural Plants,Silage
corn silage,Plant Associated,Other Agricultural Plants,Silage
ensiled sorghum,Plant Associated,Other Agricultural Plants,Silage
silage cattle feed,Plant Associated,Other Agricultural Plants,Silage
stable grass silage,Plant Associated,Other Agricultural Plants,Silage
rye silage,Plant Associated,Other Agricultural Plants,Silage
sudan grass sorghum sudanense (piper) silage,Plant Associated,Other Agricultural Plants,Silage
maize ensilage,Plant Associated,Other Agricultural Plants,Silage
fermented herbage,Plant Associated,Other Agricultural Plants,Silage
leaves of valencia orange leaf,Plant Associated,Other Plants,Leaves
cinnamomum camphora leaves,Plant Associated,Other Plants,Leaves
medicinal herb (leaf of cj),Plant Associated,Other Plants,Leaves
inner leaf tissue,Plant Associated,Other Plants,Leaves
gall,Plant Associated,Other Plants,Other Plant Parts
plant,Plant Associated,Other Plants,Other Plant Parts
kombucha green tea pellide,Plant Associated,Other Plants,Other Plant Parts
sap,Plant Associated,Other Plants,Other Plant Parts
fig,Plant Associated,Other Plants,Other Plant Parts
hardwood bark,Plant Associated,Other Plants,Other Plant Parts
cactus,Plant Associated,Other Plants,Other Plant Parts
tree bark,Plant Associated,Other Plants,Other Plant Parts
dead platanus x acerifolia,Plant Associated,Other Plants,Other Plant Parts
4-year-old roots of korean ginseng,Plant Associated,Other Plants,Other Plant Parts
plant tissue,Plant Associated,Other Plants,Other Plant Parts
plant endosphere,Plant Associated,Other Plants,Other Plant Parts
latex,Plant Associated,Other Plants,Other Plant Parts
plant tissues,Plant Associated,Other Plants,Other Plant Parts
pollen (bee bread) from beehive,Plant Associated,Other Plants,Plant Reproductive Structures
nectary,Plant Associated,Other Plants,Plant Reproductive Structures
pollen provision,Plant Associated,Other Plants,Plant Reproductive Structures
fresh seeds,Plant Associated,Other Plants,Plant Reproductive Structures
flower,Plant Associated,Other Plants,Plant Reproductive Structures
roots,Plant Associated,Other Plants,Root
rhizosphere,Plant Associated,Other Plants,Root
saline desert plant rhizosphere,Plant Associated,Other Plants,Root
rizosphere,Plant Associated,Other Plants,Root
root,Plant Associated,Other Plants,Root
root endosphere,Plant Associated,Other Plants,Root
plant root rhizosphere,Plant Associated,Other Plants,Root
root of miscanthus x giganteus,Plant Associated,Other Plants,Root
